-0.091	0.000
0.003	0.000
0.133	-0.000
0.008	0.000
-0.201	-0.000
0.014	0.000
0.653	-0.000
1.019	0.000
0.659	-0.000
0.025	0.000
-0.185	-0.000
0.030	0.000
0.160	-0.000
0.035	-0.000
-0.053	-0.000
0.041	0.000
0.114	-0.000
0.046	-0.000
-0.010	-0.000
0.050	0.000
0.102	-0.000
0.055	-0.000
0.015	-0.000
0.060	0.000
0.099	-0.000
0.064	-0.000
0.033	0.000
-0.023	0.000
0.070	-0.000
0.199	-0.000
0.074	-0.000
-0.136	0.000
0.078	-0.000
0.716	0.000
1.081	0.000
0.719	0.000
0.084	-0.000
-0.127	0.000
0.087	-0.000
0.216	0.000
0.090	-0.000
-0.000	0.000
0.092	0.000
0.164	0.000
0.094	-0.000
0.037	0.000
0.096	-0.000
0.146	-0.000
0.097	-0.000
0.055	0.000
0.098	0.000
0.136	0.000
0.099	0.000
0.066	0.000
0.009	-0.000
0.100	-0.000
0.227	-0.000
0.100	0.000
-0.112	0.000
0.100	0.000
0.736	-0.000
1.099	0.000
0.735	-0.000
0.098	-0.000
-0.114	-0.000
0.097	0.000
0.224	-0.000
0.096	0.000
0.004	0.000
0.094	0.000
0.164	-0.000
0.092	-0.000
0.033	-0.000
0.090	0.000
0.137	-0.000
0.087	0.000
0.043	-0.000
0.084	0.000
0.120	-0.000
0.081	-0.000
0.046	-0.000
-0.013	0.000
0.076	-0.000
0.201	-0.000
0.072	0.000
-0.142	0.000
0.068	-0.000
0.703	0.000
1.064	-0.000
0.699	-0.000
0.060	-0.000
-0.155	0.000
0.055	-0.000
0.180	0.000
0.050	0.000
-0.043	0.000
0.046	-0.000
0.114	0.000
0.041	-0.000
-0.020	-0.000
